# AI 出海先锋 潜在获得者
# 来源：SeeDAO AI 跨境电商共学第一、二、三讲三次活动均接受邀请（rsvp=accept）的成员
# 生成时间：2026-06-23

ou_0e8c4caef0e4c339a193dd7bc6657f38	用户181455
ou_182185c9da94f7d4430e7badb1d65005	jack
ou_2e99496b2ea25ca6c62db98c309152cb	李敬丹
ou_438f0e49829f5a277ec481dd7ad169fa	刘tianren
ou_526d529918fee68e2195713c32e7946f	Owen
ou_548162517501a8dbc9a13d41ef07c6e6	3002
ou_55c2fef15885216a421022a02f5cfa05	乐丹青
ou_75b0fc732c4298778307f3f0cda981b1	飞书用户7553GG
ou_7c30cc908a4c757ed2342a021d678e76	lin
ou_8e15d16a39cf96d3353e2817f49b8ab6	用户175744
ou_93cd14fed59c01eba5b1c06cc89e3556	阿豚
ou_9686d5436aaa04bde9953ef40b5bc4c3	Ricky Wang
ou_96cd54f7d41ee6f3b346ba7c860d86ed	young
ou_9ae3945cac37f5a21de00cfa078012d7	用户284954
ou_9d81e6024481a43ed6067d05d26a4450	丹
ou_a07df69634847c6de05c71ecd2459d2b	用户743812
ou_ad2bc618fe1f2b85c7226f9c84d081a0	用户797747
ou_b02b0b61af7157ef0104a8f16916c3d9	Lynn
ou_c3d4e4be57a12d50abe047df975a3e24	瑜Sofia
ou_da6732f6cce224bf235672dec27e3d02	宁志伟
ou_dbe939c50ace084cc0aa3c44592f6ea6	用户685812
ou_e83d3f1ceb5fcb1daeff657cc02c2e94	用户169141
ou_f756e06593f8cc65582fe9058b2f732a	白鱼@小同
ou_f95159f8776c1f920831bd4218bbf8eb	用户244363
ou_fab8f4b30c5b54966de0460e9319867f	邹路宽
ou_fbc71a4f1ab58ffaa445f413d0e45bc9	wang
ou_fcd464354ff15cc98b8f711d5b7df73f	晴子
ou_ffcfeabb877f9c03a2bff8a922aefb74	黄龄萱
